Name,Symbols,ISIN Code,Industry Group,Industry
DRS Dilip Road,DRSDILIP,INE02CV01017,Transport Services,Logistics Solution Provider
Beacon Trust.,BEACON,INE639X01027,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries"
Pramara Promotio,PRAMARA,INE0O7A01017,Media,Advertising & Media Agencies
Owais Metal,OWAIS,INE0R8M01017,Ferrous Metals,Ferro & Silica Manganese
Global Ocean,544665,INE1ITY01011,Transport Services,Logistics Solution Provider
Goldkart Jewels,GOLDKART,INE06MH01016,Consumer Durables,"Gems, Jewellery And Watches"
Rex Pipes&Cables,REXPIPES,INE00D001018,Industrial Products,Plastic Products - Industrial
Rappid Valves,RAPPID,INE0MVO01012,Industrial Products,Other Industrial Products
Aashka Hospitals,543346,INE0EAX01014,Healthcare Services,Hospital
Pritika Engineer,PRITIKA,INE0MJQ01020,Auto Components,Auto Components & Equipments
Fractal Industries,544707,INE1W3Q01011,Textiles & Apparels,Garments & Apparels
Justo Realfin,544542,INE0W5Q01017,Realty,Real Estate related services
Shivam Chemicals,544165,INE0SGR01013,Food Products,Animal Feed
Bhadora Indust.,BHADORA,INE0ZRC01017,Industrial Products,Cables - Electricals
HVAX Technolog.,HVAX,INE0TO501019,Construction,Civil Construction
Usha Financial,USHAFIN,INE0LS001014,Finance,Non Banking Financial Company (NBFC)
Royal Arc Ele.,ROYALARC,INE0EO401019,Industrial Products,Electrodes & Refractories
Indian Phosphate,IPHL,INE0DHF01018,Chemicals & Petrochemicals,Specialty Chemicals
On Door Concepts,ONDOOR,INE00ER01015,Retailing,Diversified Retail
Kratikal Tech,544811,INE1L0M01019,IT - Software,Computers - Software & Consulting
GSM Foils,GSMFOILS,INE0SQY01018,Industrial Products,Packaging
K. V. Toys India,544641,INE1IE301018,Consumer Durables,Leisure Products
Rikhav Securitie,544340,INE0CFH01028,Capital Markets,Stockbroking & Allied
Nikita Greentech Recycling,NIKITA,INE0FLF01015,"Paper, Forest & Jute Products",Paper & Paper Products
H. R. Hygiene,544848,INE17DP01015,Personal Products,Personal Care
Shubhshree Bio.,SHUBHSHREE,INE0UL701015,Industrial Products,Other Industrial Products
Esconet,ESCONET,INE0RQZ01017,IT - Hardware,Computers Hardware & Equipments
Anya Polytech &,ANYA,INE0SI601032,Fertilizers & Agrochemicals,Fertilizers
Bio Medica Lab,BMLL,INE1BKA01015,Pharmaceuticals & Biotechnology,Pharmaceuticals
United Heat,UHTL,INE0SMR01011,Industrial Products,Other Industrial Products
SPEB Adhesives,SPEB,INE1CW901027,Chemicals & Petrochemicals,Specialty Chemicals
Eppeltone Ene.,EEPL,INE11HF01010,Electrical Equipment,Other Electrical Equipment
Sadhav Shipping,SADHAV,INE0K5H01010,Transport Services,Shipping
Sat Kartar Life,SATKARTAR,INE0NB801022,Pharmaceuticals & Biotechnology,Pharmaceuticals
EMA Partners,EMAPARTNER,INE0ZOL01023,Commercial Services & Supplies,Diversified Commercial Services
Amba Auto Sales,AMBAAUTO,INE293601014,Automobiles,Auto Dealer
DU Digital,DUGLOBAL,INE0HPK01020,Leisure Services,"Tour, Travel Related Services"
Fidel Softech,FIDEL,INE0LQQ01019,IT - Software,Computers - Software & Consulting
Global Pet Indus,GLOBALPET,INE0PS501019,Industrial Manufacturing,Industrial Products
Earkart,544549,INE1A8F01035,Healthcare Equipment & Supplies,Medical Equipment & Supplies
Flywings Simula.,FWSTC,INE0SQZ01015,Other Consumer Services,Education
Ducol Organics,DUCOL,INE0LZO01015,Chemicals & Petrochemicals,Dyes And Pigments
Meta Infotech,544441,INE162901016,IT - Services,IT Enabled Services
RFBL Flexi Pack,RFBL,INE0V2V01015,Industrial Products,Packaging
Jay Bee Laminati,JAYBEE,INE0SMY01017,Industrial Products,Iron & Steel Products
Goldstar Power,GOLDSTAR,INE405Y01021,Auto Components,Auto Components & Equipments
Munish Forge,MUNISH,INE1K8Y01018,Industrial Products,Castings & Forgings
Quest Flow,543982,INE0OYE01013,Industrial Products,Other Industrial Products
Vaidya Sane,MADHAVBAUG,INE0JR301013,Healthcare Equipment & Supplies,Medical Equipment & Supplies
Polysil Irrigati,POLYSIL,INE517M01028,Industrial Products,Plastic Products - Industrial
Master Component,MASTER,INE0OJM01017,Industrial Products,Plastic Products - Industrial
Mother Nutri,544623,INE0UH001016,Food Products,Other Food Products
Adcounty Media.,544435,INE0W1601012,Media,Web based media and service
Adon Agro,544809,INE1SME01017,Food Products,Other Food Products
Goyal Salt,GOYALSALT,INE0QFE01017,Food Products,Other Food Products
Accretion Pha.,ACCPL,INE0T8T01010,Pharmaceuticals & Biotechnology,Pharmaceuticals
Srivari Spices &,SSFL,INE0ON201012,Food Products,Other Food Products
Current Infra.,CURRENT,INE1CRQ01014,Construction,Civil Construction
Exim Routes,EXIMROUTES,INE19I001020,"Paper, Forest & Jute Products",Paper & Paper Products
AVATAR Industries,AVATAR,INE617I01024,Auto Components,Auto Components & Equipments
Macobs Technolo.,MACOBSTECH,INE0R0J01010,Personal Products,Personal Care
Jay Jalaram Tech,KORE,INE0J6801010,Retailing,Diversified Retail
Dhara Rail Pro.,DHARARAIL,INE2HJL01019,Commercial Services & Supplies,Diversified Commercial Services
Kataria Indust.,KATARIA,INE0SVY01018,Industrial Manufacturing,Industrial Products
Nanta Tech,544668,INE0YJA01011,Consumer Durables,Consumer Electronics
Trident Techlabs,TECHLABS,INE0QD201012,IT - Software,Computers - Software & Consulting
Balaji Phos.,BALAJIPHOS,INE0PQ601019,Fertilizers & Agrochemicals,Fertilizers
Nilachal Carbo,544510,INE346R01013,Ferrous Metals,Ferro & Silica Manganese
Acetech E-Commerce,ACETEC,INE1J6M01010,Retailing,E-Retail/ E-Commerce
Infinity Infoway,544567,INE16XA01017,IT - Services,IT Enabled Services
Eleganz Interior,ELGNZ,INE0R9101015,Commercial Services & Supplies,Diversified Commercial Services
Novus Loyalty,544735,INE1TFS01019,Media,Web based media and service
Pratham EPC,PRATHAM,INE0QA601016,Construction,Civil Construction
Ramdevbaba Sol.,RBS,INE0RJH01010,Agricultural Food & other Products,Edible Oil
CapitalNumbers,544343,INE0WXM01011,IT - Software,Computers - Software & Consulting
Accretion Nutraveda,544694,INE1KVQ01019,Pharmaceuticals & Biotechnology,Pharmaceuticals
Maruti Interior,543464,INE0JSJ01014,Consumer Durables,Houseware
Shreedhar Spinners,SHREEDHAR,INE0K3301012,Textiles & Apparels,Other Textile Products
Integrated Perso,IPSL,INE02EE01019,Commercial Services & Supplies,Diversified Commercial Services
Marc Technocrats,MARC,INE0TD401015,Commercial Services & Supplies,Consulting Services
Purple Wave Info,544627,INE0VDK01019,Industrial Manufacturing,Industrial Products
Akanksha Power,AKANKSHA,INE0PCY01014,Electrical Equipment,Other Electrical Equipment
Dhariwalcorp,DHARIWAL,INE0YRN01025,Chemicals & Petrochemicals,Trading - Chemicals
Patel Chem,544460,INE161701011,Chemicals & Petrochemicals,Specialty Chemicals
Game Changers,544594,INE1GUJ01014,Textiles & Apparels,Other Textile Products
Interiors & More,INM,INE0OPC01015,Consumer Durables,"Furniture, Home Furnishing"
B.A.G. Converge.,BAGDIGITAL,INE17CQ01015,Entertainment,Digital Entertainment
Chaman Metallics,CMNL,INE06PV01010,Ferrous Metals,Sponge Iron
Silkflex Polymer,SILKFLEX,INE0STN01015,Chemicals & Petrochemicals,Specialty Chemicals
Cash UR Drive,CUDML,INE0WL201014,Media,Advertising & Media Agencies
Shivashrit Foods,SHIVASHRIT,INE1DLF01018,Food Products,Other Food Products
Suyog Gurbaxani,543391,INE07GA01011,Construction,Civil Construction
E Factor Experie,EFACTOR,INE0KFF01017,Other Consumer Services,Other Consumer Services
Innovators,541353,INE870Z01015,Industrial Manufacturing,Industrial Products
Dynamic Services,DYNAMIC,INE0DZ701010,Commercial Services & Supplies,Diversified Commercial Services
C P S Shapers,CPS,INE0QBU01012,Textiles & Apparels,Garments & Apparels
ACE Alpha Tech,544431,INE0S9X01011,IT - Software,Computers - Software & Consulting
Magson Retail,MAGSON,INE0O1S01012,Food Products,Packaged Foods
Sahaj Solar,SAHAJSOLAR,INE0P4701011,Electrical Equipment,Other Electrical Equipment
Hannah Joseph,544687,INE0JVH01012,Healthcare Services,Hospital
Chemkart India,544442,INE0VWL01017,Food Products,Other Food Products
Recode Studios,544755,INE2B6701015,Personal Products,Personal Care
BharatRohan Air.,544535,INE0QMV01017,Agricultural Food & other Products,Other Agricultural Products
ITCONS E-Soluti.,543806,INE0O6A01019,Commercial Services & Supplies,Diversified Commercial Services
P.E. Analytics,PROPEQUITY,INE0KN801013,Realty,Real Estate related services
Voler Car,VOLERCAR,INE241X01014,Transport Services,Road Transport
Clear Secured,CSSL,INE1EF801010,Commercial Services & Supplies,Diversified Commercial Services
Spunweb Nonwoven,SPUNWEB,INE19QH01010,Textiles & Apparels,Other Textile Products
Innomet Advanced,INNOMET,INE0S1D01010,Diversified Metals,Diversified Metals
Phantom Digital,PHANTOMFX,INE0MLZ01019,Entertainment,Media & Entertainment
Chatha Foods,544151,INE0AH901011,Food Products,Packaged Foods
Organic Recyclin,543997,INE0MIO01019,Other Utilities,Waste Management
Waaree Tech.,539337,INE725P01012,Power,Power Generation
Cool Caps,COOLCAPS,INE0HS001028,Industrial Products,Packaging
Active Infra.,ACTIVEINFR,INE0KLO01025,Realty,"Residential, Commercial Projects"
Admach Systems,544669,INE0XLO01010,Industrial Manufacturing,Industrial Products
Transteel Seatin,TRANSTEEL,INE0NVI01020,Consumer Durables,"Furniture, Home Furnishing"
Laxmipati Engg,537669,INE920P01019,Industrial Manufacturing,Ship Building & Allied Services
Shiv Texchem,544272,INE0YRO01015,Chemicals & Petrochemicals,Trading - Chemicals
GRE Renew,544682,INE0U8P01015,Construction,Civil Construction
MOS Utility,MOS,INE0N7S01028,Financial Technology (Fintech),Financial Technology (Fintech)
Krishca Strapp.,KRISHCA,INE0NR701018,Industrial Products,Iron & Steel Products
Metalic Technofo,METALIC,INE1II801013,Industrial Products,Iron & Steel Products
Agarwal Toughene,AGARWALTUF,INE0P8X01016,Industrial Products,Glass - Industrial
Finbud Financial,FINBUD,INE0EDU01014,Financial Technology (Fintech),Financial Technology (Fintech)
IC Electricals,ICELCO,INE0XE501015,Industrial Manufacturing,Industrial Products
Mahickra Chem.,MAHICKRA,INE961Y01015,Chemicals & Petrochemicals,Dyes And Pigments
Savy Infra,SAVY,INE0UCN01017,Construction,Civil Construction
Suba Hotels,SUBAHOTELS,INE0RYR01018,Leisure Services,Hotels & Resorts
Horizon Reclaim,544794,INE1SEO01013,Industrial Products,Rubber
All E Tech,ALLETEC,INE0M2X01012,IT - Software,Computers - Software & Consulting
Grand Continent,GCHOTELS,INE12E301017,Leisure Services,Hotels & Resorts
Aprameya Enginee,APRAMEYA,INE0LQG01010,Healthcare Equipment & Supplies,Medical Equipment & Supplies
Silverstorm Parks,544840,INE1EJ401023,Leisure Services,Amusement Parks/ Other Recreation
Grover Jewells,GJL,INE1TY801010,Consumer Durables,"Gems, Jewellery And Watches"
Wise Travel,WTICAB,INE623Y01011,Transport Services,Road Transport
Pushpa Jewellers,PUSHPA,INE154801018,Consumer Durables,"Gems, Jewellery And Watches"
Jainik Power,JAINIK,INE0XIL01012,Non - Ferrous Metals,Aluminium
Logica Infoway,543746,INE0BSU01018,Retailing,Speciality Retail
GLEN Industries,544444,INE0UMC01019,Industrial Products,Packaging
Jainam Ferro,JAINAM,INE02KC01010,Ferrous Metals,Ferro & Silica Manganese
EPW India,EPWINDIA,INE1KEC01023,IT - Hardware,Computers Hardware & Equipments
OneClick Logisti,OLIL,INE0OPS01011,Transport Services,Logistics Solution Provider
Shree Karni,SHREEKARNI,INE0S4Y01010,Textiles & Apparels,Other Textile Products
Kaka Industries,543939,INE0P3N01018,Industrial Products,Plastic Products - Industrial
RBM Infracon,RBMINFRA,INE0NA301016,Commercial Services & Supplies,Diversified Commercial Services
Ashwini Contain.,ASHWINI,INE1A6Q01010,Transport Services,Road Transport
Astonea Labs,544409,INE0TG901011,Pharmaceuticals & Biotechnology,Pharmaceuticals
SKP Bearing,SKP,INE0KZA01016,Industrial Products,Abrasives & Bearings
Yash Optics,YASHOPTICS,INE0TO601017,Consumer Durables,Diversified consumer products
Sawaliya Food,SAWALIYA,INE10VS01016,Agricultural Food & other Products,Other Agricultural Products
C K K Retail,CKKRETAIL,INE0SMX01019,Agricultural Food & other Products,Sugar
Mason Infratech,MASON,INE0SH001010,Realty,"Residential, Commercial Projects"
Supershakti Met.,541701,INE00SY01011,Industrial Products,Iron & Steel Products
Thaai,TCL,INE0QJL01014,Auto Components,Auto Components & Equipments
Bhavik Enterpris,544551,INE18PB01017,Chemicals & Petrochemicals,Trading - Chemicals
Arihant Academy,ARIHANTACA,INE0NCC01015,Other Consumer Services,Education
P S Raj Steels,PSRAJ,INE0XUS01020,Industrial Products,Iron & Steel Products
Aelea Commoditi.,544213,INE0T3401029,Agricultural Food & other Products,Other Agricultural Products
Simca Advertis.,SIMCA,INE1K4J01018,Media,Advertising & Media Agencies
Parmeshwar Metal,544330,INE0QQJ01021,Industrial Products,"Aluminium, Copper & Zinc Products"
Gayatri Rubbers,GRCL,INE0LVM01018,Industrial Products,Rubber
Techera Enginee.,TECHERA,INE0JQS01019,Aerospace & Defense,Aerospace & Defense
Pelatro,PELATRO,INE0VG601013,Media,Web based media and service
Ascom Leasing &,ASCOM,INE08KD01015,Finance,Non Banking Financial Company (NBFC)
Ushanti Colour,UCL,INE00NI01015,Chemicals & Petrochemicals,Dyes And Pigments
VVIP Infratech,544219,INE0MNP01016,Other Utilities,Waste Management
Yaap Digital,YAAP,INE0U0J01015,Media,Advertising & Media Agencies
Trident Lifeline,543616,INE0MKA01014,Pharmaceuticals & Biotechnology,Pharmaceuticals
Systango Tech,SYSTANGO,INE0O7R01011,IT - Software,Computers - Software & Consulting
Adisoft Technol.,ADISOFT,INE20PL01012,Industrial Manufacturing,Industrial Products
Felix Industries,FELIX,INE901X01013,Other Utilities,Water Supply & Management
Essen Speciality,ESFL,INE0ITO01014,Consumer Durables,Plastic Products - Consumer
Hoac Foods,HOACFOODS,INE0S6S01017,Food Products,Other Food Products
Leapfrog Engg.,544797,INE0X6O01027,Construction,Civil Construction
Purple United,PURPLEUTED,INE0P5R01014,Textiles & Apparels,Garments & Apparels
Monarch Surve.,544453,INE0V0L01028,Commercial Services & Supplies,Consulting Services
Devson Catalyst,544823,INE2KRP01017,Chemicals & Petrochemicals,Specialty Chemicals
Brandman Retail,BRANDMAN,INE0XUD01014,Consumer Durables,Footwear
Forcas Studio,FORCAS,INE0U2501017,Textiles & Apparels,Garments & Apparels
Frog Innovations,FROG,INE385O01018,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
Prime Cable Ind.,PRIMECAB,INE0CQA01020,Industrial Products,Cables - Electricals
Vegorama Punjabi,544765,INE1L3801017,Leisure Services,Restaurants
Avana Electrosystems,AVANA,INE1KU201016,Electrical Equipment,Heavy Electrical Equipment
Mach Travel Solutions,544248,INE0UYT01018,Other Consumer Services,Other Consumer Services
Encompass Design,ENCOMPAS,INE433T01015,Commercial Services & Supplies,Trading & Distributors
Annapurna Swadi.,ANNAPURNA,INE0MGM01017,Food Products,Packaged Foods
Infinium Pharma,INFINIUM,INE0MRE01011,Pharmaceuticals & Biotechnology,Pharmaceuticals
Shree Tirupati,TIRUPATI,INE238Y01018,Industrial Products,Plastic Products - Industrial
Akiko,AKIKO,INE0PMR01017,Finance,Other Financial Services
Teamtech Formwork,TEAMTECH,INE2OL601013,Other Construction Materials,Other Construction Materials
Hi-Green Carbon,HIGREEN,INE0PIC01017,Other Utilities,Waste Management
Sancode Tech.,543897,INE0P7001013,IT - Services,IT Enabled Services
Cospower Engine.,543172,INE0CQB01010,Industrial Manufacturing,Industrial Products
Solarium Green,544354,INE0W0H01017,Construction,Civil Construction
TIPCO Engineering,544740,INE1U6D01014,Industrial Manufacturing,Industrial Products
Apex Ecotech,APEXECO,INE0T4V01015,Other Utilities,Water Supply & Management
Clay Craft India,CLAYCRAFT,INE1QGM01024,Consumer Durables,Houseware
Madhusudan Masa,MADHUSUDAN,INE0P6701019,Food Products,Other Food Products
Optivalue Tek,OPTIVALUE,INE15B101011,IT - Services,IT Enabled Services
Creative Graphic,CGRAPHICS,INE0R7401011,Industrial Products,Other Industrial Products
Atmastco Ltd,ATMASTCO,INE05DH01017,Construction,Civil Construction
Sotefin Bharat,544832,INE12Z301012,IT - Software,Software Products
HP Telecom,HPTL,INE0VA601019,Commercial Services & Supplies,Trading & Distributors
Shreeji Global,SHETHJI,INE1FL101016,Agricultural Food & other Products,Other Agricultural Products
Taurian MPS,TAURIAN,INE0XWS01018,Industrial Manufacturing,Industrial Products
Emmforce Auto.,544166,INE0SDC01012,Auto Components,Auto Components & Equipments
Maxvolt Energy,MAXVOLT,INE10A501018,Auto Components,Auto Components & Equipments
Sheetal Univer.,SHEETAL,INE04VX01019,Agricultural Food & other Products,Other Agricultural Products
True Colors,544531,INE1LDV01015,Industrial Manufacturing,Industrial Products
Teja Engineering,TEJA,INE0R1301019,Oil,Oil Equipment & Services
Connplex Cinemas,CONNPLEX,INE0EAS01014,Entertainment,"Film Production, Distribution & Exhibition"
Virtual Galaxy,VGINFOTECH,INE0VRH01015,IT - Software,Software Products
Paradeep Pari.,544383,INE0SMW01011,Transport Services,Logistics Solution Provider
Megatherm Indu.,MEGATHERM,INE531R01010,Industrial Products,Other Industrial Products
Sugs Lloyd,544501,INE0XX801016,Electrical Equipment,Other Electrical Equipment
Pune e,544141,INE510U01018,Capital Markets,Stockbroking & Allied
Mahamaya Lifesc.,544611,INE0U9D01019,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Vishnusurya Pro.,VISHNUINFR,INE0PQ001012,Other Construction Materials,Other Construction Materials
Monika Alcobev,544451,INE0LCG01010,Beverages,Breweries & Distilleries
Shera Energy,SHERA,INE0MM001019,Industrial Products,"Aluminium, Copper & Zinc Products"
Arham Tech,ARHAM,INE0L2Y01011,Consumer Durables,Consumer Electronics
Nisus Finance,544296,INE0DQN01013,Finance,Holding Company
Committed Cargo,COMMITTED,INE597Z01014,Transport Services,Logistics Solution Provider
Sattrix Infor.,544189,INE0QUV01010,IT - Services,IT Enabled Services
Msafe Equipments,544695,INE2B5L01011,Non - Ferrous Metals,Aluminium
Neptune Pet.,NEPTUNE,INE156901014,Chemicals & Petrochemicals,Petrochemicals
Ecoline Exim,ECOLINE,INE0VBS01016,Industrial Products,Packaging
Divine Hira Jew.,DIVINEHIRA,INE0NA501011,Consumer Durables,"Gems, Jewellery And Watches"
B.R.Goyal Infra.,544335,INE00ST01011,Construction,Civil Construction
Workmates Core2,544610,INE1I1301016,IT - Software,Computers - Software & Consulting
Asarfi Hospital,543943,INE0DN001027,Healthcare Services,Hospital
Sealmatic India,543782,INE0O4601016,Industrial Products,Other Industrial Products
C2C Advanced,C2C,INE0U7V01015,Aerospace & Defense,Aerospace & Defense
TechD Cybersec.,TECHD,INE0Y5H01014,IT - Services,IT Enabled Services
Gretex Industrie,GRETEX,INE985P01012,Entertainment,Media & Entertainment
Anlon Tech,ANLON,INE0LR101013,Commercial Services & Supplies,Diversified Commercial Services
Prevest Denpro,543363,INE0GAO01018,Healthcare Equipment & Supplies,Medical Equipment & Supplies
Pajson Agro,544657,INE14LM01012,Food Products,Other Food Products
Chavda Infra Ltd,CHAVDA,INE0PT101017,Construction,Civil Construction
Patil Automation,PATILAUTOM,INE17GV01016,Industrial Manufacturing,Industrial Products
E to E Transportation,E2ERAIL,INE1CEJ01017,Construction,Civil Construction
Blue Water,BLUEWATER,INE0X3M01010,Transport Services,Logistics Solution Provider
ANB Metal,AMCL,INE0VG001016,Industrial Products,"Aluminium, Copper & Zinc Products"
JD Cables,544524,INE14VP01014,Industrial Products,Cables - Electricals
Susan Electrical,544793,INE2L0V01019,Industrial Products,Cables - Electricals
Fabtech Techn.,544332,INE0HSD01011,Industrial Manufacturing,Industrial Products
GP Eco Solutions,GPECO,INE0S7E01015,Electrical Equipment,Other Electrical Equipment
Aptus Pharma,544529,INE15XJ01010,Pharmaceuticals & Biotechnology,Pharmaceuticals
HRS Aluglaze,544656,INE1E1V01017,Industrial Manufacturing,Industrial Products
Cryogenic OGS,544440,INE0TL001013,Industrial Manufacturing,Industrial Products
S J Logistics (I,SJLOGISTIC,INE0F3301020,Transport Services,Logistics Solution Provider
Systematic Inds.,544541,INE1KLZ01011,Industrial Products,Cables - Electricals
Basilic Fly Stud,BASILIC,INE0OCC01013,Entertainment,Media & Entertainment
City Pulse Multi,542727,INE056001014,Retailing,Speciality Retail
Digilogic Systems,544684,INE1OOT01028,Aerospace & Defense,Aerospace & Defense
Australian Prem,APS,INE0P0001010,Electrical Equipment,Heavy Electrical Equipment
Ganesh Infra.,GANESHIN,INE0TVT01024,Construction,Civil Construction
Saakshi Medtech,SAAKSHI,INE0PSK01027,Electrical Equipment,Other Electrical Equipment
Supreme Power,SUPREMEPWR,INE0QHG01026,Electrical Equipment,Other Electrical Equipment
Bai-Kakaji Poly.,544670,INE1IJQ01026,Consumer Durables,Plastic Products - Consumer
Bizotic Commer.,543926,INE0OJ401014,Textiles & Apparels,Garments & Apparels
Hemant Surgical,543916,INE0GYI01028,Healthcare Equipment & Supplies,Medical Equipment & Supplies
Qualitek Labs,544091,INE0Q1R01012,Commercial Services & Supplies,Consulting Services
CLN Energy,544347,INE0WDX01010,Auto Components,Auto Components & Equipments
ABS Marine,ABSMARINE,INE0QRV01016,Transport Services,Shipping
Iware Supplych.,IWARE,INE1AII01014,Transport Services,Logistics Solution Provider
Kalyani Cast-Tec,544023,INE0N6U01018,Industrial Manufacturing,Industrial Products
Apsis Aerocom,APSISAERO,INE1OOJ01011,Aerospace & Defense,Aerospace & Defense
SK Minerals & Additives,544584,INE13YH01017,Chemicals & Petrochemicals,Specialty Chemicals
Sar Televenture,SARTELE,INE0PUC01020,Telecom - Services,Telecom - Infrastructure
Chandan Healthca,CHANDAN,INE0B2N01016,Healthcare Services,Healthcare Service Provider
Proventus Agro.,PROV,INE0ONE01016,Food Products,Other Food Products
Subam Papers,544267,INE0U6201010,Industrial Products,Packaging
L. T. Elevator,544518,INE0TJ801010,Industrial Manufacturing,Industrial Products
Sunlite Recycli.,SUNLITE,INE0U2N01013,Industrial Products,"Aluminium, Copper & Zinc Products"
Sunita Tools Ltd,544001,INE0Q1S01010,Industrial Manufacturing,Industrial Products
Beezaasan Exp.,544369,INE13VU01016,Chemicals & Petrochemicals,Explosives
Merritronix,544773,INE1RQS01010,Industrial Manufacturing,Industrial Products
Captain Techno.,540652,INE931X01010,Industrial Manufacturing,Industrial Products
PNGS Gargi FJ,543709,INE0NT601018,Consumer Durables,"Gems, Jewellery And Watches"
Namo eWaste,NAMOEWASTE,INE08NZ01012,Other Utilities,Waste Management
Exato Technologies,544626,INE1E4401010,IT - Services,IT Enabled Services
Ganesh Green,GGBL,INE0R8C01018,Electrical Equipment,Other Electrical Equipment
Neetu Yoshi,544434,INE0UZO01024,Industrial Products,Castings & Forgings
KRM Ayurveda,KRMAYURVED,INE1MTV01019,Pharmaceuticals & Biotechnology,Pharmaceuticals
Foce India,FOCE,INE0I7D01019,Consumer Durables,"Gems, Jewellery And Watches"
Influx Health.,INFLUX,INE0MYZ01012,Pharmaceuticals & Biotechnology,Pharmaceuticals
Tankup Engi.,TANKUP,INE0Z7N01017,Industrial Products,Other Industrial Products
Cellecor Gadgets,CELLECOR,INE0OMO01025,Consumer Durables,Consumer Electronics
Parth Electrical,PARTH,INE1H7V01011,Electrical Equipment,Other Electrical Equipment
Goel Construct.,544504,INE0ZOM01013,Construction,Civil Construction
Vasa Denticity,DENTALKART,INE0N5801013,Healthcare Equipment & Supplies,Medical Equipment & Supplies
RNFI Services,RNFI,INE0SA001017,Finance,Other Financial Services
OSEL Devices,OSELDEVICE,INE0RMF01018,Healthcare Equipment & Supplies,Medical Equipment & Supplies
Karnika Industri,KARNIKA,INE0MGA01012,Textiles & Apparels,Garments & Apparels
Veefin Solutions,543931,INE0Q0M01015,IT - Services,IT Enabled Services
Petro Carbon,PCCL,INE998U01015,Minerals & Mining,Industrial Minerals
Exhicon Events,543895,INE0O8901016,Other Consumer Services,Other Consumer Services
FlySBS Aviation,FLYSBS,INE0VCK01011,Transport Services,Airline
Airfloa Rail,544516,INE0XBS01012,Industrial Manufacturing,Industrial Products
Vision Infra,VIESL,INE0TR001017,Commercial Services & Supplies,Diversified Commercial Services
Z-Tech (India),ZTECH,INE0ISZ01012,Other Utilities,Waste Management
Parin Enterpris.,PARIN,INE00U801010,Consumer Durables,"Furniture, Home Furnishing"
Bright Outdoor,543831,INE0OMI01019,Media,Advertising & Media Agencies
Unified Data,544406,INE1ABX01018,IT - Services,IT Enabled Services
Baheti Recycling,BAHETI,INE029Q01017,Industrial Products,"Aluminium, Copper & Zinc Products"
Sudarshan Pharma,543828,INE00TV01023,Chemicals & Petrochemicals,Specialty Chemicals
Sahasra Electro.,SAHASRA,INE0RBQ01018,Industrial Products,Other Industrial Products
Freshara Agro,FRESHARA,INE0SFW01015,Food Products,Other Food Products
Vinsys IT Serv.,VINSYS,INE0OSJ01014,Other Consumer Services,Education
Sathlokhar Sys.,SSEGL,INE0RFP01011,Construction,Civil Construction
Sahana Systems,SAHANA,INE0LEX01011,IT - Services,IT Enabled Services
Effwa Infra,EFFWA,INE0U9101019,Other Utilities,Waste Management
Vilas Transcore,VILAS,INE0AZY01017,Industrial Products,Other Industrial Products
Shri Ahimsa,SHRIAHIMSA,INE0DM401012,Food Products,Other Food Products
Poojaa Precision Engg.,544844,INE288301026,Auto Components,Auto Components & Equipments
Tejas Cargo,TEJASCARGO,INE17WC01013,Transport Services,Logistics Solution Provider
B-Right Real,543543,INE0IZQ01016,Realty,"Residential, Commercial Projects"
Swaraj Suiting,SWARAJ,INE0GMR01016,Textiles & Apparels,Other Textile Products
Prizor Viztech,PRIZOR,INE0V9N01017,Industrial Manufacturing,Industrial Products
Remus Pharma.,REMUS,INE0O5T01011,Pharmaceuticals & Biotechnology,Pharmaceuticals
Sacheerome,SACHEEROME,INE1ARD01016,Chemicals & Petrochemicals,Specialty Chemicals
Indo SMC,544681,INE0WKY01013,Electrical Equipment,Other Electrical Equipment
TAC Infosec,TAC,INE0SOY01013,IT - Software,Computers - Software & Consulting
Emkay Tools,ETL,INE0PXC01024,Industrial Manufacturing,Industrial Products
Safe Enterprises,SAFEENTP,INE17D601016,Consumer Durables,"Furniture, Home Furnishing"
Shree Refrigerat,544458,INE0FMZ01045,Aerospace & Defense,Aerospace & Defense
M.V.K. Agro,MVKAGRO,INE0SGC01015,Agricultural Food & other Products,Sugar
Cosmic CRF,543928,INE0ORA01015,Industrial Products,Iron & Steel Products
Unihealth Hosp,UNIHEALTH,INE0PRF01011,Healthcare Services,Hospital
Utssav CZ Gold,UTSSAV,INE06IJ01010,Consumer Durables,"Gems, Jewellery And Watches"
Q-Line Biotech,QLINE,INE1G2W01011,Healthcare Equipment & Supplies,Medical Equipment & Supplies
Macfos,543787,INE0OLH01013,Retailing,E-Retail/ E-Commerce
Vivid Electromech,VIVIDEL,INE24H301028,Electrical Equipment,Other Electrical Equipment
Accent Microcell,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals
Divine Power,DPEL,INE0SCO01019,Industrial Products,Cables - Electricals
Millworks Technologies,544826,INE1SRC01010,Aerospace & Defense,Aerospace & Defense
Zelio E-Mobility,544563,INE1B3501014,Automobiles,2/3 Wheelers
Rajesh Power,544291,INE0VN801010,Other Utilities,Multi Utilities
Danish Power,DANISH,INE0YU901016,Electrical Equipment,Heavy Electrical Equipment
